HG00096	HG00103	HG00106	HG00111	HG00116	HG00126	HG00132	HG00149	HG00150	HG00176	geneID
0	0	0	0	0	0	0	0	0	0	ENSG00000141956.13_3
0	0	0	0	0	0	0	0	0	0	ENSG00000141959.16_1
22	6	30	6	7	13	16	16	9	10	ENSG00000142149.8_3
19	4	17	14	11	21	4	40	13	19	ENSG00000142156.14_2
0	0	0	0	0	0	0	0	0	0	ENSG00000142166.12_3
0	0	0	0	0	0	0	0	0	0	ENSG00000142168.14_2
0	0	0	0	0	0	0	0	0	0	ENSG00000142173.14_3
0	0	0	0	0	0	0	0	0	0	ENSG00000142178.8_3
0	0	0	0	0	0	0	0	0	0	ENSG00000142182.8_3
0	6	2	3	2	1	0	6	3	0	ENSG00000142185.16_5
0	0	0	0	0	0	0	0	0	0	ENSG00000142188.16_3
2604	1864	2765	3701	2060	3129	1861	1958	2375	2996	ENSG00000142192.20_5
0	0	0	0	1	0	0	0	0	0	ENSG00000142197.12_4
1113	669	1048	1328	1662	1791	2114	1864	1291	1040	ENSG00000142207.6_2
0	0	0	0	0	0	0	0	0	0	ENSG00000154639.18_2
805	1029	845	877	635	763	1146	553	1018	979	ENSG00000154640.14_3
0	0	0	0	0	0	0	0	0	0	ENSG00000154642.10_4
1	7	13	13	4	5	15	5	14	19	ENSG00000154645.13_3
0	0	0	0	0	0	0	0	0	0	ENSG00000154646.8_3
0	0	0	0	0	0	0	0	0	0	ENSG00000154654.14_3
0	0	0	0	0	0	0	0	0	0	ENSG00000154719.13_4
0	0	0	0	0	0	0	0	0	0	ENSG00000154721.14_5
0	0	0	0	0	0	0	0	0	0	ENSG00000154723.12_4
0	0	0	0	0	0	0	0	0	0	ENSG00000154727.10_2
0	0	0	0	0	0	0	0	0	0	ENSG00000154734.14_5
0	0	0	0	0	0	0	0	0	0	ENSG00000154736.5_3
1243	1108	964	815	1220	1117	1894	1204	1149	1848	ENSG00000155304.5_2
0	0	0	0	0	0	0	0	0	0	ENSG00000155307.18_3
0	0	0	0	0	0	0	0	0	0	ENSG00000155313.15_3
0	0	0	0	0	0	0	0	0	0	ENSG00000156239.11_3
0	0	0	0	0	0	0	0	0	0	ENSG00000156253.6_2
0	0	0	0	0	0	0	0	0	0	ENSG00000156256.14_3
0	0	0	0	0	0	0	0	0	0	ENSG00000156261.12_4
0	0	0	0	0	0	0	0	0	0	ENSG00000156265.15_2
0	0	0	0	0	0	0	0	1	0	ENSG00000156273.15_5
0	0	0	0	0	0	0	0	0	0	ENSG00000156282.4_2
0	0	0	0	0	0	0	0	0	0	ENSG00000156284.5_2
0	0	0	0	0	0	0	0	0	0	ENSG00000156299.13_3
0	0	0	0	0	0	0	0	0	0	ENSG00000156304.14_3
1862	1819	1948	1722	1822	2327	2128	1946	1672	1761	ENSG00000157538.13_3
0	0	0	0	0	0	0	0	0	0	ENSG00000157540.20_4
0	0	0	0	0	0	0	0	0	0	ENSG00000157542.10_4
10	15	35	16	5	16	12	4	7	20	ENSG00000157551.18_5
0	0	0	0	0	0	0	0	0	0	ENSG00000157554.18_3
132	154	148	162	120	142	247	236	115	133	ENSG00000157557.11_3
1	1	3	0	0	0	0	0	0	0	ENSG00000157578.13_2
0	0	0	0	0	0	0	0	0	0	ENSG00000157601.13_3
0	0	0	0	0	0	0	0	0	0	ENSG00000157617.16_3
0	0	0	0	0	0	0	0	0	0	ENSG00000159055.3_2
0	0	0	0	0	0	0	0	0	0	ENSG00000159079.18_5
0	0	0	0	0	0	0	0	0	0	ENSG00000159082.17_3
0	0	0	0	0	0	0	0	0	0	ENSG00000159086.14_2
2168	2076	1770	2129	2470	2381	3042	2263	2517	2324	ENSG00000159110.19_3
0	0	0	0	0	0	0	0	0	0	ENSG00000159128.14_3
0	0	0	0	0	0	0	0	0	0	ENSG00000159131.16_4
0	0	0	0	0	0	0	0	0	0	ENSG00000159140.19_5
0	0	0	0	0	0	0	0	0	0	ENSG00000159147.17_5
0	0	0	0	0	0	0	0	0	0	ENSG00000159197.3_2
0	0	0	0	0	0	0	0	0	0	ENSG00000159200.17_2
485	211	646	693	182	440	522	1109	1367	278	ENSG00000159212.12_2
