sample_0	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48	sample_49	sample_50	sample_51	sample_52	sample_53	sample_54	sample_55	sample_56	sample_57	sample_58	sample_59	sample_60	sample_61	sample_62	sample_63	protein_ID
496329	544135	265115	469532	357642	191037	699230	137414	408196	150344	1123665	613572	1695527	933659	1098519	158384	267049	213118	1293798	198993	832209	307300	165924	274025	780746	620597	150843	407989	1415572	126473	794070	830222	5725489	1611595	870150	169425	261564	278750	180545	265015	186480	586612	614481	173244	1001487	154975	104305	393418	260713	1177630	616019	146699	191167	270050	840227	317640	491131	146127	193169	1338758	166650	429005	1038756	145780	protein_0
575861	2450832	807291	1760091	511370	1293153	1144413	1123431	1340525	1595245	224132	1244739	1603885	1098081	237605	820280	533298	1127439	1831000	1075835	1765743	643815	841100	1148645	1912714	1265547	629150	637917	2982282	1240802	1321335	1342627	2536023	158589	1464543	786711	1563976	794360	826941	1590415	1435471	1591417	1700472	860935	89140	943633	609921	1056199	919744	1023952	1785547	1200890	736040	1397451	1311029	1064394	1472707	941162	829773	1573012	888983	897956	4358243	1507237	protein_1
727491	1303310	552997	902472	1080472	89820	1386390	321794	610100	670198	835218	663941	897436	855474	1154078	194829	1199572	214912	542487	306088	859894	426053	347762	225420	949715	554058	567604	237112	758203	197783	1131706	600428	1108657	1087293	651533	97057	719628	968726	323625	330315	308450	618862	418891	508545	859706	215155	775390	573822	790394	388762	587879	251573	355722	146852	2302165	574610	836483	470534	523966	580693	694937	802922	1147959	257956	protein_2
35264	0	137575	42215	0	59537	56853	163673	41958	293386	138792	68948	218561	51530	131308	55893	0	63100	0	165560	77187	205414	175700	72533	88016	0	184749	306573	0	169296	70860	0	0	188578	103572	0	182982	35977	155366	166274	23274	57757	57328	19692	142827	27979	24478	221893	37483	0	52961	153834	66600	0	155561	30282	45231	267004	23013	90459	191212	44291	0	0	protein_3
59437	222523	120386	65512	0	113510	79399	31759	83829	71200	82289	35352	63361	0	82463	81260	0	98982	151109	44819	97837	110874	99533	122478	60758	31198	136088	11215	198114	53721	79546	38197	251857	9931	0	105148	18767	17248	45030	21251	64873	86864	0	102507	8036	73638	0	135526	19621	25046	91739	58529	11293	160256	108463	16902	82210	87717	76963	0	57449	14457	344434	150069	protein_4
1406818	463898	1157796	956491	367121	1893660	1281249	581157	337176	3143597	1230625	957249	945206	895713	1115185	1949658	390365	1897277	236272	593270	412047	939452	808495	1710534	1362098	1576105	1262296	270869	457418	1577026	1757447	1046005	382304	1080661	1002119	2956542	608604	237419	690178	500468	579251	403273	1082508	1110384	737850	922506	226616	1338959	299393	1229150	334474	481895	237607	5539480	1446357	259138	372581	2624940	1281896	797672	1927681	197261	422817	4467690	protein_5
159959	1223204	1056041	255340	865540	267187	256827	593635	381585	107290	842576	161999	447091	390262	1143023	171284	1403864	225097	1388287	479541	608010	1023523	1066222	239287	297705	2137862	1134008	112997	1241930	92949	253730	1747842	3910773	1738543	704382	268399	101953	417876	504134	115131	106209	515339	701305	105488	1452971	117871	435913	1378174	436704	1555338	482484	412951	50909	623775	329293	549486	411969	297473	110493	661980	69454	417165	1680883	348374	protein_6
1376224	3484017	1191972	2532793	1118294	877186	2427690	422970	1277699	1639558	1227136	1793232	2005749	901340	1121158	712632	1011922	881530	2161570	1408948	1484351	1188379	1089904	887928	2684828	1553393	1279094	686728	3943727	953884	2487230	1639180	3396451	1450553	1446116	1238331	844606	1022425	1581028	966561	892746	1439755	1260997	806280	1237462	886670	552602	1281838	1254937	1318277	1458401	1507010	432734	1721553	2480585	1269139	1022054	1124339	898309	1485266	1053869	1150028	4483132	1565258	protein_7
918737	1998478	762222	3147485	658847	190198	1944646	776593	1673041	1323126	643785	1402471	2230996	446240	686109	132500	598618	181784	1525619	1094996	1754549	626499	549750	202542	2598260	1165724	701677	1037702	1951965	896615	2311630	1170455	2688451	1165484	1194236	371849	1020521	1067667	738165	1084193	898382	1260419	583557	1639707	1337296	783474	890100	660643	1042556	797653	1504889	1095430	654333	521765	1764563	1465200	1144129	275349	1284454	764737	1325537	1242405	3233805	526281	protein_8
22938146	43259136	27317109	33086027	51863133	7519337	22070953	10755962	50927079	30442891	54978010	24693993	21446024	42090214	75435086	4306349	58907002	3740092	35097850	4772379	46134028	18219069	15833136	4962437	44346927	41834289	8380219	39413888	74288070	28865083	26406137	39450068	39769073	70700906	52440069	5556699	22028075	21462996	7756018	29436930	6002064	65541127	38672923	4961769	57049067	12312010	34419845	26423886	22480904	70579049	38542023	5410298	16763099	14642947	35782906	21005026	69742896	9373954	5091174	45680996	20601998	25700976	52129929	7235573	protein_9
